단어,수
말은,27
명,27
문재인,27
민주,27
박근혜,27
본인,27
볼,27
살고,27
식물이,27
쓰는,27
아무,27
않는다,27
양평,27
없네,27
없어요,27
올바른,27
와서,27
위하여,27
윤석열대통령님,27
윤석열의,27
윤재옥,27
이유가,27
자,27
좋겠다,27
짓을,27
한심하다,27
행동으로,27
후,27
거냐,26
건데,26
국가와,26
국힘에,26
꾹,26
넘,26
다시는,26
대해,26
되지,26
됨,26
똑똑하고,26
몇,26
무능한,26
받고,26
범죄자,26
본다,26
봐,26
분이,26
빼고,26
사는,26
싶은,26
싹,26
완전,26
이준석의,26
인간,26
인간이,26
있다는,26
자유대한민국,26
정권을,26
필요,26
하는지,26
가고,25
가면,25
건강,25
격하게,25
국민들을,25
국힘당은,25
말로만,25
문제,25
미래가,25
보자,25
비리검사,25
스스로,25
아닙니다,25
안된다,25
열렬히,25
자꾸,25
정부는,25
하면서,25
해야지,25
힘차게,25
감사드립니다,24
것들,24
고맙습니다,24
국민들에게,24
국힘을,24
기대합니다,24
넌,24
동안,24
두고,24
똑바로,24
막,24
멋있다,24
모르는,24
모습을,24
바란다,24
생각을,24
수사,24
않으면,24
연설,24
원내대표님,24
을,24
이해가,24
인요한,24
잘하는,24
전혀,24
정치적,24
주고,24
준석이,24
지면,24
하시는,24
한가위,24
훌륭한,24
ㆍ,23
가라,23
같아요,23
국민과,23
김,23
나라의,23
날,23
년,23
법무장관님,23
부디,23
뽑은,23
사퇴하라,23
세,23
세금,23
속지,23
신경,23
없어,23
오직,23
이상민,23
있어요,23
저는,23
정치검찰,23
정치인들,23
조작,23
주지,23
차려라,23
최고다,23
출마,23
탄핵합시다,23
한동훈장관,23
합니까,23
:,22
가만히,22
갑니다,22
거예요,22
고속도로,22
국회에서,22
국힘의,22
나와서,22
너희들,22
당신은,22
대체,22
더불어민주당이,22
똑같은,22
못하게,22
및,22
보수를,22
아니냐,22
양두구육,22
우리는,22
이준석도,22
있는지,22
좋다,22
필요한,22
하시고,22
강력히,21
검사들,21
고생,21
국힘과,21
그러면,21
기가,21
김기현당대표님,21
나라와,21
너무너무,21
눈,21
답,21
동훈이,21
되어야,21
많으십니다,21
방송,21
봐라,21
부산,21
속,21
수도,21
쉽게,21
아는,21
않을,21
윤은,21
응원하겠습니다,21
이거,21
자유,21
잘못된,21
장관님을,21
장관을,21
저도,21
적극적으로,21
정당,21
조용히,21
존경하고,21
중에,21
지역,21
진교훈,21
진심,21
치고,21
탄핵하고,21
표를,21
하겠습니다,21
하루빨리,21
한다는,21
했으면,21
ㅠㅠ,20
가짜,20
갈,20
겁니까,20
경제,20
군,20
그렇지,20
그저,20
나가서,20
나라에,20
남은,20
너,20
놈들,20
대한민국은,20
대해서,20
등등,20
때가,20
맞습니다,20
멋져요,20
못한,20
민주당은,20
본,20
부터,20
사람들은,20
시간,20
시원합니다,20
여론조사,20
역대,20
역풍,20
오히려,20
원하는,20
일도,20
있도록,20
있지,20
자랑스럽습니다,20
자리,20
잘못,20
점점,20
정권교체를,20
주십시오,20
중요한,20
처음,20
총선을,20
탄핵해야,20
하자,20
희망이,20
️,20
간다,19
같아,19
거의,19
경상도,19
공매도,19
국민의힘의,19
국회의원은,19
기도합니다,19
끝나면,19
내고,19
너는,19
너희들이,19
대단한,19
도토리,19
때는,19
맘대로,19
망한다,19
목소리,19
뭐냐,19
뭔가,19
미래,19
반듯이,19
세금으로,19
승리를,19
안됩니다,19
여당이,19
열,19
윤통,19
으로,19
의,19
이유를,19
인물이,19
정치가,19
조국,19
지난,19
차라리,19
책임을,19
처럼,19
철저히,19
총선은,19
최신작,19
탄핵도,19
특히,19
하니,19
하시길,19
화이팅하세요,19
확실히,19
희망입니다,19
가슴이,18
거고,18
거임,18
국가를,18
꼴,18
남,18
답이,18
당대표가,18
당신이,18
똘똘,18
마,18
마음으로,18
만들어주세요,18
머리,18
문제가,18
법무장관,18
살기,18
세계,18
속으면,18
손준성,18
승리합시다,18
시,18
아니지,18
어려운,18
어찌,18
언론,18
언제까지,18
오늘도,18
오로지,18
이끌어,18
이대로,18
이상한,18
일본의,18
있어서,18
자신의,18
자유민주주의,18
장관님의,18
정권이,18
정치는,18
좋습니다,18
좋아,18
주시길,18
지부,18
진,18
진보,18
판,18
폐지,18
희망을,18
가족,17
거면,17
곧,17
과연,17
그만하고,17
나서,17
뉴스,17
단,17
대통령과,17
둘,17
만드는,17
만들어서,17
면,17
모습이,17
못하면,17
벌써,17
보냅니다,17
보세요,17
보인다,17
본인의,17
봐야,17
부동산,17
뿐,17
사람도,17
생각해,17
수산물,17
식으로,17
싸우는,17
썩은,17
아닌데,17
어디서,17
없으니,17
원래,17
위하는,17
윤가,17
인물,17
입,17
입만,17
있어도,17
있을까,17
있음,17
자기들,17
잘하십니다,17
장관의,17
정상적인,17
정책,17
지키는,17
창당,17
탄핵안,17
토사구팽,17
투표로,17
팽,17
하게,17
하라고,17
현재,17
가진,16
거라,16
거라고,16
걱정,16
고,16
구구절절,16
굳이,16
길,16
나가는,16
나라는,16
나오지,16
나올,16
나이,16
눈물이,16
니,16
당당하게,16
대표님의,16
대표를,16
돼,16
되시길,16
드디어,16
들고,16
마음,16
많다,16
말씀에,16
몰라도,16
무능,16
문제는,16
미친,16
민주주의를,16
바보,16
박정희,16
발의하라,16
분들,16
수도권,16
수밖에,16
시원하게,16
아깝다,16
아냐,16
않습니다,16
않을까,16
알,16
엑스포,16
우리도,16
원내대표,16
유석열,16
의원들은,16
자체가,16
잡고,16
젊고,16
정부를,16
정치인들이,16
즐거운,16
짜증,16
쭉,16
참으로,16
축하드립니다,16
탄핵하세요,16
특활비,16
팩트,16
표가,16
하나도,16
하던,16
해외,16
핵,16
형,16
확실하게,16
환영합니다,16
30%,15
간,15
강력하게,15
강한,15
같네요,15
것에,15
공정과,15
교훈,15
국가,15
그것도,15
그날까지,15
김대표님,15
능력,15
다들,15
대,15
댓글,15
더욱더,15
드립니다,15
만들어야,15
많습니다,15
맘에,15
맞다,15
맞지,15
모두가,15
모조리,15
물,15
뭉쳐서,15
박살,15
보네,15
보이는,15
사퇴,15
산다,15
서로,15
수고가,15
시간이,15
식물은,15
싫다,15
얘기,15
어서,15
어이가,15
얼마,15
없어서,15
없으면,15
없지,15
윤통이,15
응원한다,15
의원이,15
일하는,15
입으로만,15
있어야,15
적,15
정부에,15
주는,15
지금처럼,15
지방,15
지켜보고,15
진정,15
집단,15
짓,15
짱,15
편입,15
필요합니다,15
하다,15
하셨습니다,15
하이팅,15
하태경,15
했다,15
행복한,15
혁신은,15
훌륭하신,15
가야,14
감히,14
같음,14
건강하세요,14
걸고,14
