단어,수
압도적으로,50
언제,50
인간,50
있네,50
장경태,50
투표,50
강서구민,49
거라,49
격하게,49
국회,49
당신이,49
더불어민주당아,49
살,49
와서,49
위하여,49
일하는,49
200석,48
ㅡ,48
너,48
당신,48
들,48
생각이,48
요,48
이미,48
있으니,48
지켜보고,48
가라,47
고민정은,47
과,47
구청장님,47
국민의힘,47
너희들,47
모르는,47
범죄,47
사는,47
사람들,47
아니면,47
아직,47
이번에,47
있어,47
잘하는,47
전원,47
정부,47
좋겠습니다,47
차기,47
것들,46
경제,46
계셔서,46
국민의힘당,46
당원이,46
돈,46
때까지,46
발의,46
보내세요,46
석,46
승리할,46
싫다,46
어찌,46
얼굴,46
주셔서,46
지켜야,46
함께합니다,46
현,46
가지고,45
나도,45
나라의,45
마음을,45
싸울,45
아닌가,45
아웃,45
않은,45
어느,45
중단,45
확실히,45
가세요,44
가즈아,44
나라와,44
더불어민주당과,44
되지,44
분이,44
속,44
승리합니다,44
않으면,44
압도적,44
원하는,44
이재명이다,44
있도록,44
찐,44
행동하라,44
구속,43
나쁜,43
단식은,43
당원과,43
모습으로,43
사람들이,43
원내대표는,43
저렇게,43
정치인,43
중,43
한다고,43
홧팅,43
같아요,42
거지,42
국회의원들,42
나가세요,42
내세요,42
되면,42
머,42
모두가,42
밀고,42
볼,42
양평,42
우리나라,42
원합니다,42
있고,42
제일,42
지지하는,42
당대표님,41
뭐가,41
보다,41
사람은,41
수사,41
시,41
알,41
완전,41
인간들,41
있다는,41
있으면,41
조작,41
좋네요,41
참으로,41
필승,41
힘든,41
그리,40
난다,40
대로,40
더욱더,40
돼요,40
맞는,40
명절,40
모아,40
받을,40
법,40
보냅니다,40
봐,40
승리하시길,40
아무,40
않는다,40
없네,40
없어,40
예산,40
총선에,40
필요한,40
하지만,40
김건희,39
김진표,39
되고,39
많으셨습니다,39
맞서,39
병원,39
생각합니다,39
속이,39
안됩니다,39
언제까지,39
없으면,39
의원이,39
지키는,39
최고다,39
하면서,39
하셨습니다,39
감사하고,38
갑니다,38
건가요,38
곧,38
나와,38
당원들의,38
되길,38
몇,38
모시고,38
무도한,38
이재명님,38
있냐,38
전에,38
좋다,38
크게,38
ㅎ,37
갈,37
관심,37
대통령은,37
되시길,37
말하는,37
못하면,37
문제,37
바란다,37
뵈니,37
부정선거,37
서용주,37
싶다,37
이끌어,37
전부,37
정책,37
조심하세요,37
중단하시고,37
혁신안,37
회복,37
희망을,37
같은데,36
거예요,36
걱정입니다,36
건희,36
국민만,36
당선되시길,36
당원들은,36
도와주세요,36
말은,36
매일,36
멋지다,36
멋진,36
보여,36
사랑하고,36
산다,36
스스로,36
아무리,36
이소영,36
이유가,36
일은,36
입만,36
있나,36
있다고,36
있어서,36
저는,36
존경하는,36
지난,36
지사님,36
진심,36
차리세요,36
투쟁,36
행동을,36
가슴,35
가야,35
가열하게,35
같아,35
국힘,35
근데,35
능력,35
다해,35
단,35
대표님께서,35
맙시다,35
먹고,35
믿을,35
부탁합니다,35
세상,35
송영길,35
수박들,35
싸우는,35
싸우지,35
쓰레기,35
아는,35
않게,35
이깁니다,35
있지,35
철저히,35
하니,35
ㅜㅜ,34
같다,34
건데,34
결국,34
국회에서,34
그동안,34
김,34
답이다,34
만큼,34
못하게,34
민주당에,34
바라는,34
비리,34
수고하셨습니다,34
아님,34
어휴,34
오로지,34
인간이,34
죄가,34
하네,34
강서구청,33
건강하시길,33
국민들에게,33
국민에게,33
그게,33
내부,33
넘,33
당선을,33
두고,33
만든,33
말로,33
맘이,33
멋지십니다,33
목소리,33
무능한,33
삶을,33
서로,33
세금,33
수도,33
없으니,33
윤석열을,33
이대표님,33
이동관,33
입으로만,33
제발요,33
조용히,33
중요한,33
챙기셔야,33
함께해,33
홍,33
화이팅입니다,33
가결이,32
걱정,32
고생하셨습니다,32
국가,32
그럼,32
기호,32
꼭꼭,32
나서,32
대표의,32
뒤에서,32
또한,32
모습이,32
못한,32
아닙니까,32
야,32
언론,32
엄청,32
영원히,32
원내대표가,32
이겨야,32
일꾼,32
자리에,32
잘하셨습니다,32
조응천,32
지도부,32
지지자들,32
큰일,32
탄핵이,32
하루,32
하자,32
가고,31
간곡히,31
강력한,31
그날까지,31
김종민,31
꼴,31
너희들이,31
대한민국이,31
듣고,31
마십시오,31
맘,31
못하고,31
미친,31
반대하는,31
밥,31
세,31
솔직히,31
수박,31
엄중,31
이건,31
이길,31
이준석,31
이해가,31
적극적으로,31
전혀,31
정권을,31
주고,31
지역,31
짓을,31
짜증,31
차라리,31
최고의원,31
폐지,31
한마디,31
해당,31
행복한,31
혼자,31
후,31
가만히,30
고속도로,30
그나마,30
나네요,30
당당하게,30
당대표,30
당에,30
당연히,30
동안,30
되어주세요,30
멋져요,30
모습에,30
목숨을,30
못할,30
바른,30
반대,30
본다,30
봐도,30
봐라,30
살리는,30
새,30
싶은,30
싸우고,30
썩은,30
아파요,30
앞으로도,30
어려운,30
얼른,30
여기,30
영장,30
원,30
윤석열이,30
잊지,30
주는,30
주시고,30
징계,30
탄핵에,30
하나도,30
하라고,30
한심하다,30
행동,30
가면,29
감사,29
공매도,29
국민에,29
그러나,29
기가,29
길이,29
나오는,29
대해,29
딱,29
때는,29
맞습니다,29
미래를,29
밖에,29
법사위,29
보세요,29
삽니다,29
승리로,29
앞에서,29
어디,29
연설,29
외,29
이상민의원,29
자리,29
자체가,29
정치검찰,29
정치인이,29
지금까지,29
축하,29
하십시오,29
했는데,29
힘내주세요,29
강력히,28
검찰이,28
국가와,28
국민도,28
국민들도,28
기도드립니다,28
길을,28
눈치,28
단식투쟁,28
때가,28
떠나라,28
문제가,28
및,28
박수를,28
발언,28
보이는,28
사랑해요,28
시간이,28
싶어요,28
아니냐,28
어차피,28
유,28
이긴다,28
일본,28
있어야,28
자꾸,28
젊은,28
좋아,28
죄를,28
지역구,28
짓,28
짱,28
처음,28
천재,28
하시는,28
하실,28
한동훈을,28
한준호,28
화가,28
회복을,28
훌륭한,28
흥해라,28
가족,27
강선우,27
개혁,27
그래,27
길입니다,27
나라에서,27
나오면,27
날이,27
넌,27
답,27
대체,27
마음으로,27
많습니다,27
믿음이,27
받고,27
버리고,27
보인다,27
살려주세요,27
수준,27
신당,27
어서,27
얼굴이,27
응원할게요,27
일도,27
재명아,27
절대로,27
정당,27
정치에,27
제가,27
주시기,27
지금처럼,27
진정,27
최강욱,27
특히,27
판사님,27
회의,27
ㅡㅡ,26
갖고,26
건가,26
그런데,26
김태우,26
나갑시다,26
다시는,26
당선되세요,26
당원의,26
던진,26
도움이,26
말씀에,26
머리,26
뭔가,26
부결을,26
분은,26
신경,26
싶네요,26
아나,26
옆에,26
이리,26
이원욱,26
일입니다,26
입으로,26
있나요,26
있는지,26
잡고,26
재미,26
조,26
준,26
지키세요,26
최고의원님들,26
출당,26
하나요,26
행복합니다,26
헛소리,26
확실하게,26
가짜,25
계신,25
구속영장,25
그만하시고,25
나가,25
답답하다,25
답이,25
당신들이,25
당신은,25
당의,25
대의원제,25
대한민국에,25
돼,25
마음에,25
민주당을,25
박,25
박용진,25
본,25
본인,25
사람을,25
사퇴하고,25
살기,25
손,25
어제,25
여당,25
열렬히,25
영상,25
옳은,25
유능한,25
일단,25
자격,25
자는,25
재,25
재명이,25
죄,25
죽을,25
지지를,25
쭉,25
최고위원들,25
탄핵도,25
하시길,25
한마음으로,25
