단어,수
강서구의,11
강서구청장은,11
거기서,11
거라고,11
거부,11
거의,11
걱정돼요,11
걱정하는,11
건강잘챙기세요,11
결과를,11
결정,11
경상도,11
고맙다,11
공감합니다,11
광주,11
국,11
국가가,11
국가의,11
국민들께,11
국회의,11
권한을,11
그것도,11
기대,11
기대해,11
기도,11
길로,11
깨끗한,11
꽤,11
꾹,11
꿈,11
꿈도,11
나불나불,11
내각,11
내각제,11
내려,11
내야,11
너나,11
너네,11
너희들도,11
넘게,11
놀이,11
단합된,11
당선될,11
당연한,11
당하고,11
대차게,11
대통령실,11
대통령의,11
대표님에게,11
더불어민주당의원님들,11
돈으로,11
동의안을,11
돼서,11
되네요,11
되는지,11
된다면,11
될까요,11
들을,11
등불,11
때마다,11
똑소리,11
똘똘뭉쳐,11
만듭시다,11
말씀은,11
말씀입니다,11
말하고,11
머리가,11
멀리,11
멍청한,11
명심하라,11
명예를,11
명의,11
못하도록,11
못하면서,11
무지한,11
뭉처서,11
뭉쳐주세요,11
뭉치는,11
민생이,11
민주당으로,11
민형배,11
바람,11
바로잡아,11
박민,11
반대로,11
받아라,11
밝은,11
방법,11
배신자,11
번진,11
법무부,11
보이네,11
보임,11
봅시다,11
부끄럽지,11
분명,11
분을,11
비대위,11
비리검사,11
비면,11
빛이,11
빠져,11
사실을,11
상민아,11
상황을,11
생각은,11
생각한다,11
세계,11
세워,11
소리가,11
쇼,11
수는,11
수원,11
술,11
심판,11
심판합시다,11
심히,11
싶지,11
쓰레기들,11
아무런,11
아자아자,11
아프고,11
아픈,11
않는가,11
압승합시다,11
앞장서서,11
야무지게,11
양심도,11
어디서,11
어쩜,11
억울한,11
얼굴을,11
여,11
오길,11
오지,11
우뚝,11
운동,11
위기를,11
위원장,11
윤석열도,11
응원을,11
응원할,11
의리,11
이것이,11
이재,11
이하,11
인사,11
인생,11
일에,11
일이다,11
일해라,11
잃지,11
자고,11
자랑스러운,11
자리를,11
잘못한,11
잘해서,11
잘해야,11
장관님을,11
장관님의,11
장관을,11
저들이,11
적당히,11
전세사기,11
점,11
정당이,11
정말로,11
정부와,11
정신을,11
정신이,11
정의는,11
정책을,11
정청래의원님,11
조국은,11
좋고,11
좋은데,11
좋지,11
주,11
주변,11
주실,11
죽은,11
준비,11
지지할,11
찍은,11
찬성,11
챙기고,11
챙기십시오,11
천벌을,11
최은숙,11
추천합니다,11
출마하세요,11
치고,11
큰일을,11
탄핵부터,11
탈당은,11
탈당을,11
통합,11
투표함,11
투표해,11
피,11
하시기를,11
하이틴,11
합쳐,11
해결,11
해결해,11
해봐라,11
향한,11
향해,11
현장에,11
협치,11
확,11
황운하,11
회복하세요,11
회의를,11
후보의,11
후보자,11
힘내셔서,11
힘들어요,11
